00-C0-4C	& TRADE|AU|
48-3B-38	1 Infinite Loop|Cupertino CA 95014|US|
48-43-7C	1 Infinite Loop|Cupertino CA 95014|US|
48-4B-AA	1 Infinite Loop|Cupertino CA 95014|US|
48-50-73	1 Microsoft Way|Redmond Washington 98052|FI|
48-57-DD	1 Hacker Way|Menlo Park California 94025|US|
48-60-BC	1 Infinite Loop|Cupertino CA 95014|US|
48-74-6E	1 Infinite Loop|Cupertino CA 95014|US|
48-86-E8	1 Microsoft Way|Redmond Washington 98052|FI|
48-A1-95	1 Infinite Loop|Cupertino CA 95014|US|
48-A9-1C	1 Infinite Loop|Cupertino CA 95014|US|
48-BF-6B	1 Infinite Loop|Cupertino CA 95014|US|
48-D7-05	1 Infinite Loop|Cupertino CA 95014|US|
48-E9-F1	1 Infinite Loop|Cupertino CA 95014|US|
48-EE-0C	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
4C-0B-BE	1 Microsoft Way|Redmond Washington 98052|US|
4C-32-75	1 Infinite Loop|Cupertino CA 95014|US|
4C-56-9D	1 Infinite Loop|Cupertino CA 95014|US|
4C-57-CA	1 Infinite Loop|Cupertino CA 95014|US|
4C-6B-E8	1 Infinite Loop|Cupertino CA 95014|US|
4C-74-BF	1 Infinite Loop|Cupertino CA 95014|US|
4C-7C-5F	1 Infinite Loop|Cupertino CA 95014|US|
4C-8D-79	1 Infinite Loop|Cupertino CA 95014|US|
4C-B1-99	1 Infinite Loop|Cupertino CA 95014|US|
50-1A-C5	1 Microsoft Way|Redmond Washington 98052|US|
50-32-37	1 Infinite Loop|Cupertino CA 95014|US|
50-67-87	1 Ivy Crest Ln|Rockaway NJ 07866|US|
50-7A-55	1 Infinite Loop|Cupertino CA 95014|US|
50-7A-C5	1 Infinite Loop|Cupertino CA 95014|US|
50-82-D5	1 Infinite Loop|Cupertino CA 95014|US|
50-87-B8	1 Smythe Rd|Carleton Place Ontario K7C4J4|CA|
50-98-F3	1 Alan Street|Rydalmere NSW 2116|AU|
50-A6-7F	1 Infinite Loop|Cupertino CA 95014|US|
50-BC-96	1 Infinite Loop|Cupertino CA 95014|US|
50-DE-06	1 Infinite Loop|Cupertino CA 95014|US|
50-EA-D6	1 Infinite Loop|Cupertino CA 95014|US|
54-26-96	1 Infinite Loop|Cupertino CA 95014|US|
54-2B-8D	1 Infinite Loop|Cupertino CA 95014|US|
54-33-CB	1 Infinite Loop|Cupertino CA 95014|US|
54-4E-90	1 Infinite Loop|Cupertino CA 95014|US|
54-62-E2	1 Infinite Loop|Cupertino CA 95014|US|
54-72-4F	1 Infinite Loop|Cupertino CA 95014|US|
54-99-63	1 Infinite Loop|Cupertino CA 95014|US|
54-9F-13	1 Infinite Loop|Cupertino CA 95014|US|
54-AE-27	1 Infinite Loop|Cupertino CA 95014|US|
54-B8-0A	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
54-E4-3A	1 Infinite Loop|Cupertino CA 95014|US|
54-EA-A8	1 Infinite Loop|Cupertino CA 95014|US|
58-1F-AA	1 Infinite Loop|Cupertino CA 95014|US|
58-40-4E	1 Infinite Loop|Cupertino CA 95014|US|
58-55-CA	1 Infinite Loop|Cupertino CA 95014|US|
58-6B-14	1 Infinite Loop|Cupertino CA 95014|US|
58-7F-57	1 Infinite Loop|Cupertino CA 95014|US|
58-82-A8	1 Microsoft Way|Redmond Washington 98052|US|
58-B0-35	1 Infinite Loop|Cupertino CA 95014|US|
58-D5-6E	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
58-E2-8F	1 Infinite Loop|Cupertino CA 95014|US|
58-E6-BA	1 Infinite Loop|Cupertino CA 95014|US|
5C-09-47	1 Infinite Loop|Cupertino CA 95014|US|
5C-1D-D9	1 Infinite Loop|Cupertino CA 95014|US|
5C-59-48	1 Infinite Loop|Cupertino CA 95014|US|
5C-69-84	1 Enterprise Place Unit G|Hicksville NY 11801|US|
5C-88-16	1 Allen-Bradley Dr.|Mayfield Heights OH 44124-6118|US|
5C-8D-4E	1 Infinite Loop|Cupertino CA 95014|US|
5C-95-AE	1 Infinite Loop|Cupertino CA 95014|US|
5C-96-9D	1 Infinite Loop|Cupertino CA 95014|US|
5C-97-F3	1 Infinite Loop|Cupertino CA 95014|US|
5C-AD-CF	1 Infinite Loop|Cupertino CA 95014|US|
5C-F5-DA	1 Infinite Loop|Cupertino CA 95014|US|
5C-F7-E6	1 Infinite Loop|Cupertino CA 95014|US|
5C-F9-38	1 Infinite Loop|Cupertino CA 95014|US|
60-03-08	1 Infinite Loop|Cupertino CA 95014|US|
60-30-D4	1 Infinite Loop|Cupertino CA 95014|US|
60-33-4B	1 Infinite Loop|Cupertino CA 95014|US|
60-3E-7B	1 W Main St., STE 650|Rochester NY 14614|US|
60-45-BD	1 Microsoft Way|Redmond Washington 98052|US|
60-63-4C	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
60-69-44	1 Infinite Loop|Cupertino CA 95014|US|
60-70-C0	1 Infinite Loop|Cupertino CA 95014|US|
60-8B-0E	1 Infinite Loop|Cupertino CA 95014|US|
60-8C-4A	1 Infinite Loop|Cupertino CA 95014|US|
60-92-17	1 Infinite Loop|Cupertino CA 95014|US|
60-9A-C1	1 Infinite Loop|Cupertino CA 95014|US|
60-A3-7D	1 Infinite Loop|Cupertino CA 95014|US|
60-C5-47	1 Infinite Loop|Cupertino CA 95014|US|
60-D9-C7	1 Infinite Loop|Cupertino CA 95014|US|
60-F4-45	1 Infinite Loop|Cupertino CA 95014|US|
60-F8-1D	1 Infinite Loop|Cupertino CA 95014|US|
60-FA-CD	1 Infinite Loop|Cupertino CA 95014|US|
60-FB-42	1 Infinite Loop|Cupertino CA 95014|US|
60-FE-C5	1 Infinite Loop|Cupertino CA 95014|US|
64-20-0C	1 Infinite Loop|Cupertino CA 95014|US|
64-5A-ED	1 Infinite Loop|Cupertino CA 95014|US|
64-70-33	1 Infinite Loop|Cupertino CA 95014|US|
64-76-BA	1 Infinite Loop|Cupertino CA 95014|US|
64-9A-BE	1 Infinite Loop|Cupertino CA 95014|US|
64-A3-CB	1 Infinite Loop|Cupertino CA 95014|US|
64-A5-C3	1 Infinite Loop|Cupertino CA 95014|US|
64-B0-A6	1 Infinite Loop|Cupertino CA 95014|US|
64-B9-E8	1 Infinite Loop|Cupertino CA 95014|US|
64-C7-53	1 Infinite Loop|Cupertino CA 95014|US|
64-E6-82	1 Infinite Loop|Cupertino CA 95014|US|
